data_suite,join_name,elapsed_time,result,database_raw_rows_count,database_final_rows_count,query_raw_rows_count,query_final_rows_count,result_raw_rows_count,result_final_rows_count
one-to-one,driver-ailist-benchmark,1109,success,10000,10000,10000,10000,10000,10000
one-to-one,driver-ailist-benchmark,1188,success,10000,10000,10000,10000,10000,10000
one-to-one,driver-ailist-benchmark,968,success,10000,10000,10000,10000,10000,10000
one-to-all,driver-ailist-benchmark,955,success,10000,1,10000,1,10000,10000
all-to-one,driver-ailist-benchmark,916,success,1,10000,1,10000,10000,10000
all-to-all,driver-ailist-benchmark,962,success,100,100,100,100,10000,10000
spanning-4,driver-ailist-benchmark,1077,success,10000,10000,10000,10000,89980,89980
spanning-16,driver-ailist-benchmark,1155,success,10000,10000,10000,10000,329728,329728
continuous-16,driver-ailist-benchmark,993,success,625,10000,625,10000,10624,10624
sparse-16,driver-ailist-benchmark,956,success,625,10000,625,10000,625,625
one-to-one,driver-ailist-benchmark,977,success,10000,10000,10000,10000,10000,10000
one-to-all,driver-ailist-benchmark,977,success,10000,1,10000,1,10000,10000
all-to-one,driver-ailist-benchmark,922,success,1,10000,1,10000,10000,10000
all-to-all,driver-ailist-benchmark,907,success,100,100,100,100,10000,10000
spanning-4,driver-ailist-benchmark,1025,success,10000,10000,10000,10000,89980,89980
spanning-16,driver-ailist-benchmark,1174,success,10000,10000,10000,10000,329728,329728
continuous-16,driver-ailist-benchmark,931,success,625,10000,625,10000,10624,10624
sparse-16,driver-ailist-benchmark,943,success,625,10000,625,10000,625,625
one-to-one,driver-ailist-benchmark,994,success,10000,10000,10000,10000,10000,10000
one-to-one,spark-native-benchmark,2384,success,10000,10000,10000,10000,10000,10000
one-to-all,driver-ailist-benchmark,950,success,10000,1,10000,1,10000,10000
one-to-all,spark-native-benchmark,990,success,10000,1,10000,1,10000,10000
all-to-one,driver-ailist-benchmark,921,success,1,10000,1,10000,10000,10000
all-to-one,spark-native-benchmark,1000,success,1,10000,1,10000,10000,10000
all-to-all,driver-ailist-benchmark,914,success,100,100,100,100,10000,10000
all-to-all,spark-native-benchmark,999,success,100,100,100,100,10000,10000
spanning-4,driver-ailist-benchmark,1051,success,10000,10000,10000,10000,89980,89980
spanning-4,spark-native-benchmark,2400,success,10000,10000,10000,10000,89980,89980
spanning-16,driver-ailist-benchmark,1210,success,10000,10000,10000,10000,329728,329728
spanning-16,spark-native-benchmark,2452,success,10000,10000,10000,10000,329728,329728
continuous-16,driver-ailist-benchmark,937,success,625,10000,625,10000,10624,10624
continuous-16,spark-native-benchmark,1155,success,625,10000,625,10000,10624,10624
sparse-16,driver-ailist-benchmark,924,success,625,10000,625,10000,625,625
sparse-16,spark-native-benchmark,1154,success,625,10000,625,10000,625,625
