data_suite,join_name,elapsed_time,result,database_raw_rows_count,database_final_rows_count,query_raw_rows_count,query_final_rows_count,result_raw_rows_count,result_final_rows_count
one-to-none-1000,bucketized-scale-2-rdd-ailist,4171,success,501,1002,500,1000,0,0
one-to-none-5000,bucketized-scale-2-rdd-ailist,4394,success,2501,5002,2500,5000,0,0
one-to-none-10000,bucketized-scale-2-rdd-ailist,4432,success,5001,10002,5000,10000,0,0
one-to-none-50000,bucketized-scale-2-rdd-ailist,4686,success,25001,50002,25000,50000,0,0
one-to-none-100000,bucketized-scale-2-rdd-ailist,4920,success,50001,100002,50000,100000,0,0
one-to-none-500000,bucketized-scale-2-rdd-ailist,5747,success,250001,500002,250000,500000,0,0
one-to-none-1000000,bucketized-scale-2-rdd-ailist,6631,success,500001,1000002,500000,1000000,0,0
one-to-none-5000000,bucketized-scale-2-rdd-ailist,16290,success,2500001,5000002,2500000,5000000,0,0
one-to-none-10000000,bucketized-scale-2-rdd-ailist,26635,success,5000001,10000002,5000000,10000000,0,0
one-to-none-50000000,bucketized-scale-2-rdd-ailist,,Job aborted due to stage failure: Task 0 in stage 13.0 failed 1 times, most recent failure: Lost task 0.0 in stage 13.0 (TID 48) (192.168.97.6 executor 4): java.lang.OutOfMemoryError: Java heap space: failed reallocation of scalar replaced objects
one-to-none-100000000,bucketized-scale-2-rdd-ailist,,Job aborted due to stage failure: Task 3 in stage 10.0 failed 1 times, most recent failure: Lost task 3.0 in stage 10.0 (TID 47) (192.168.97.5 executor 2): java.lang.OutOfMemoryError: Java heap space
one-to-one-1000,bucketized-scale-2-rdd-ailist,4605,success,1000,2000,1000,2000,999,999
one-to-one-5000,bucketized-scale-2-rdd-ailist,4718,success,5000,10000,5000,10000,4999,4999
one-to-one-10000,bucketized-scale-2-rdd-ailist,4636,success,10000,20000,10000,20000,9999,9999
one-to-one-50000,bucketized-scale-2-rdd-ailist,5149,success,50000,100000,50000,100000,49999,49999
one-to-one-100000,bucketized-scale-2-rdd-ailist,5340,success,100000,200000,100000,200000,99999,99999
one-to-one-500000,bucketized-scale-2-rdd-ailist,7503,success,500000,1000000,500000,1000000,500000,500000
one-to-one-1000000,bucketized-scale-2-rdd-ailist,10380,success,1000000,2000000,1000000,2000000,1000000,1000000
one-to-one-5000000,bucketized-scale-2-rdd-ailist,39746,success,5000000,10000000,5000000,10000000,4999999,4999999
one-to-one-10000000,bucketized-scale-2-rdd-ailist,,Job aborted due to stage failure: Task 2 in stage 10.0 failed 1 times, most recent failure: Lost task 2.0 in stage 10.0 (TID 46) (192.168.97.6 executor 4): java.lang.OutOfMemoryError: Java heap space
one-to-one-50000000,bucketized-scale-2-rdd-ailist,,Job aborted due to stage failure: Task 3 in stage 13.0 failed 1 times, most recent failure: Lost task 3.0 in stage 13.0 (TID 51) (192.168.97.2 executor 3): java.lang.OutOfMemoryError: Java heap space
one-to-one-100000000,bucketized-scale-2-rdd-ailist,,Job aborted due to stage failure: Task 2 in stage 13.0 failed 1 times, most recent failure: Lost task 2.0 in stage 13.0 (TID 50) (192.168.97.4 executor 1): ExecutorLostFailure (executor 1 exited caused by one of the running tasks) Reason: Command exited with code 50
