data_suite,join_name,elapsed_time,result,database_raw_rows_count,database_final_rows_count,query_raw_rows_count,query_final_rows_count,result_raw_rows_count,result_final_rows_count
databio-s-1-2,driver-ailist,4105,success,198621,198621,438694,438694,54343,54343
databio-s-2-7,driver-ailist,5407,success,438694,438694,1194285,1194285,274249,274249
databio-s-1-0,driver-ailist,4290,success,198621,198621,2350965,2350965,321138,321138
databio-m-7-0,driver-ailist,9514,success,1194285,1194285,2350965,2350965,2764069,2764069
databio-m-7-3,driver-ailist,8255,success,1194285,1194285,1956864,1956864,4410796,4410796
databio-l-0-8,driver-ailist,39899,success,2350965,2350965,9944559,9944559,164213743,164213743
databio-l-4-8,driver-ailist,1125819,success,7684066,7684066,9944559,9944559,227866180,227866180
databio-l-7-8,driver-ailist,13530,success,1194285,1194285,9944559,9944559,307298107,307298107
databio-xl-3-0,driver-ailist,37526,success,1956864,1956864,2350965,2350965,1087646273,1087646273
one-to-none-1000,driver-ailist,4590,success,501,501,500,500,0,0
one-to-none-5000,driver-ailist,4114,success,2501,2501,2500,2500,0,0
one-to-none-10000,driver-ailist,4672,success,5001,5001,5000,5000,0,0
one-to-none-50000,driver-ailist,5146,success,25001,25001,25000,25000,0,0
one-to-none-100000,driver-ailist,4022,success,50001,50001,50000,50000,0,0
one-to-none-500000,driver-ailist,5939,success,250001,250001,250000,250000,0,0
one-to-none-1000000,driver-ailist,7160,success,500001,500001,500000,500000,0,0
one-to-none-5000000,driver-ailist,17159,success,2500001,2500001,2500000,2500000,0,0
one-to-none-10000000,driver-ailist,31058,success,5000001,5000001,5000000,5000000,0,0
one-to-none-50000000,driver-ailist,,java.lang.OutOfMemoryError: Java heap space
one-to-one-1000,driver-ailist,4946,success,1000,1000,1000,1000,999,999
one-to-one-5000,driver-ailist,4948,success,5000,5000,5000,5000,5000,4999
one-to-one-10000,driver-ailist,4922,success,10000,10000,10000,10000,9999,9999
one-to-one-50000,driver-ailist,5280,success,50000,50000,50000,50000,49999,49999
one-to-one-100000,driver-ailist,5350,success,100000,100000,100000,100000,99999,99999
one-to-one-500000,driver-ailist,8107,success,500000,500000,500000,500000,499999,499999
one-to-one-1000000,driver-ailist,10269,success,1000000,1000000,1000000,1000000,999999,999999
one-to-one-5000000,driver-ailist,40199,success,5000000,5000000,5000000,5000000,4999999,4999999
one-to-one-10000000,driver-ailist,160939,success,10000000,10000000,10000000,10000000,9999999,9999999
one-to-one-50000000,driver-ailist,, java.lang.OutOfMemoryError: Java heap space
