data_suite,join_name,elapsed_time,result,result_rows_count
odd-to-even-100000,driver-ailist,4049,success,0
odd-to-even-500000,driver-ailist,4659,success,0
odd-to-even-1000000,driver-ailist,5029,success,0
odd-to-even-5000000,driver-ailist,14496,success,0
odd-to-even-10000000,driver-ailist,26303,success,0
odd-to-even-50000000,driver-ailist,26303,,java.lang.OutOfMemoryError: Java heap space
one-to-even-100000,driver-ailist,3380,success,50001
one-to-even-500000,driver-ailist,4446,success,250001
one-to-even-1000000,driver-ailist,6096,success,500001
one-to-even-5000000,driver-ailist,26186,success,2500001
one-to-even-10000000,driver-ailist,104924,success,5000001
one-to-even-50000000,driver-ailist,,Job aborted due to stage failure: Total size of serialized results of 16 tasks (1063.2 MiB) is bigger than spark.driver.maxResultSize (1024.0 MiB)
one-to-long-continuous-100000,driver-ailist,3238,success,100000
one-to-long-continuous-500000,driver-ailist,4800,success,500000
one-to-long-continuous-1000000,driver-ailist,6341,success,1000000
one-to-long-continuous-5000000,driver-ailist,30433,success,5000000
one-to-long-continuous-10000000,driver-ailist,128396,success,10000000
one-to-long-continuous-50000000,driver-ailist,,Job aborted due to stage failure: Total size of serialized results of 16 tasks (1063.3 MiB) is bigger than spark.driver.maxResultSize (1024.0 MiB)
one-to-long-overlap-100000,driver-ailist,3252,success,190019
one-to-long-overlap-500000,driver-ailist,4358,success,990099
one-to-long-overlap-1000000,driver-ailist,6676,success,1990199
one-to-long-overlap-5000000,driver-ailist,28126,success,9990999
one-to-long-overlap-10000000,driver-ailist,127911,success,19991999
one-to-long-overlap-50000000,driver-ailist,,Job aborted due to stage failure: Total size of serialized results of 16 tasks (1063.3 MiB) is bigger than spark.driver.maxResultSize (1024.0 MiB)
one-to-one-100000,driver-ailist,3602,success,100001
one-to-one-500000,driver-ailist,5167,success,500001
one-to-one-1000000,driver-ailist,7457,success,1000001
one-to-one-5000000,driver-ailist,32323,success,5000001
one-to-one-10000000,driver-ailist,132362,success,10000001
one-to-one-50000000,driver-ailist,,Job aborted due to stage failure: Total size of serialized results of 16 tasks (1063.3 MiB) is bigger than spark.driver.maxResultSize (1024.0 MiB)
short-continuous-to-long-overlap-100000,driver-ailist,3055,success,19018
short-continuous-to-long-overlap-500000,driver-ailist,3177,success,99098
short-continuous-to-long-overlap-1000000,driver-ailist,3389,success,199198
short-continuous-to-long-overlap-5000000,driver-ailist,4375,success,999998
short-continuous-to-long-overlap-10000000,driver-ailist,5896,success,2000998
short-continuous-to-long-overlap-50000000,driver-ailist,27507,success,10008998
short-continuous-to-random-normal-short-100000,driver-ailist,3874,success,95400
short-continuous-to-random-normal-short-500000,driver-ailist,4788,success,477600
short-continuous-to-random-normal-short-1000000,driver-ailist,5742,success,964400
short-continuous-to-random-normal-short-5000000,driver-ailist,6857,success,5076600
short-continuous-to-random-normal-short-10000000,driver-ailist,9061,success,10602960
short-continuous-to-random-normal-short-50000000,driver-ailist,36026,success,68308400
short-continuous-to-random-poisson-short-100000,driver-ailist,4011,success,20000000
short-continuous-to-random-poisson-short-500000,driver-ailist,3764,success,20000000
short-continuous-to-random-poisson-short-1000000,driver-ailist,3789,success,20000000
short-continuous-to-random-poisson-short-5000000,driver-ailist,4766,success,20000000
short-continuous-to-random-poisson-short-10000000,driver-ailist,7053,success,20000000
short-continuous-to-random-poisson-short-10000000,driver-ailist,6757,success,20000000
short-continuous-to-random-poisson-short-50000000,driver-ailist,28925,success,20000000
short-continuous-to-random-uniform-short-100000,driver-ailist,4271,success,197160
short-continuous-to-random-uniform-short-500000,driver-ailist,4333,success,1001560
short-continuous-to-random-uniform-short-1000000,driver-ailist,4860,success,2001360
short-continuous-to-random-uniform-short-5000000,driver-ailist,7123,success,10019800
short-continuous-to-random-uniform-short-10000000,driver-ailist,10583,success,20031480
short-continuous-to-random-uniform-short-50000000,driver-ailist,40093,success,99958440
short-continuous-to-short-overlap-100000,driver-ailist,3350,success,39997
short-continuous-to-short-overlap-500000,driver-ailist,3434,success,199997
short-continuous-to-short-overlap-1000000,driver-ailist,3847,success,399997
short-continuous-to-short-overlap-5000000,driver-ailist,4749,success,1999997
short-continuous-to-short-overlap-10000000,driver-ailist,6997,success,3999997
short-continuous-to-short-overlap-50000000,driver-ailist,31653,success,19999997
databio-s-1-2,driver-ailist,3701,success,54343
databio-s-2-7,driver-ailist,4754,success,274249
databio-s-1-0,driver-ailist,3657,success,321138
databio-m-7-0,driver-ailist,7874,success,2764069
databio-m-7-3,driver-ailist,7585,success,4410796
databio-l-0-8,driver-ailist,35119,success,164213743
databio-l-4-8,driver-ailist,864008,success,227866180
databio-l-7-8,driver-ailist,12165,success,307298107
databio-xl-3-0,driver-ailist,37387,success,1087646273
