data_suite,preprocessor,lhs_rows_count,lhs_rows_per_partition,rhs_rows_count,rhs_rows_per_partition
odd-to-even-100000,salt-per-1000000-,50000,50000,50001,50001
odd-to-even-100000,salt-per-10000000-,50000,50000,50001,50001
odd-to-even-100000,salt-per-100000000-,50000,50000,50001,50001
odd-to-even-100000,salt-per-1000000000-,50000,50000,50001,50001
odd-to-even-500000,salt-per-1000000-,250000,250000,250001,250001
odd-to-even-500000,salt-per-10000000-,250000,250000,250001,250001
odd-to-even-500000,salt-per-100000000-,250000,250000,250001,250001
odd-to-even-500000,salt-per-1000000000-,250000,250000,250001,250001
odd-to-even-1000000,salt-per-1000000-,500000,500000,500001,500001
odd-to-even-1000000,salt-per-10000000-,500000,500000,500001,500001
odd-to-even-1000000,salt-per-100000000-,500000,500000,500001,500001
odd-to-even-1000000,salt-per-1000000000-,500000,500000,500001,500001
odd-to-even-5000000,salt-per-1000000-,5000000,1249136-1250864-1250864-1249136,5000002,1251476-1251476-1248525-1248525
odd-to-even-5000000,salt-per-10000000-,2500000,2500000,2500001,2500001
odd-to-even-5000000,salt-per-100000000-,2500000,2500000,2500001,2500001
odd-to-even-5000000,salt-per-1000000000-,2500000,2500000,2500001,2500001
odd-to-even-10000000,salt-per-1000000-,25000000,1001275-999511-998641-1001798-1001275-1001798-998775-999511-998641-998775-1001275-1001798-999511-1001798-1001798-998775-998775-998641-1001275-998775-999511-998641-1001275-998641-999511,25000005,1001315-1001187-1001315-1001315-997760-1001187-1001315-997760-1001187-1001187-1001187-999902-999902-997760-999837-999837-997760-997760-999837-999902-999837-999837-999902-999902-1001315
odd-to-even-10000000,salt-per-10000000-,5000000,5000000,5000001,5000001
odd-to-even-10000000,salt-per-100000000-,5000000,5000000,5000001,5000001
odd-to-even-10000000,salt-per-1000000000-,5000000,5000000,5000001,5000001
odd-to-even-50000000,salt-per-1000000-,625000000,999632-3002321-2999196-2999666-2998925-3999950-1997867-2002560-3002659-2000444-5995141-2998844-7002636-6003394-2999207-6000848-1999467-1001192-1999697-4000671-3997206-2002299-3002089-2999210-4999988-2998882-3002145-3002951-8002011-2000720-5993380-999632-2002903-3997504-5003723-3002060-2000130-3999474-1995840-4999507-3999521-3999296-1998493-1999637-5000730-3998800-998128-7000594-4001192-3998833-3999259-2997437-2996304-2997014-1999637-1999261-1997660-2000053-2999642-4002955-3999562-4001939-4000475-5001923-4000182-6001197-1001494-1999892-2001557-3998431-4002661-2996729-998552-3002256-1000532-3001137-2995337-999908-4001039-5001784-1999209-1999567-2000167-3001384-4000539-6001458-4998529-2000898-2001686-1999033-4000631-4996219-2001604-4001212-3000216-6003285-3997194-3001031-3997400-4998360-2998617-2002283-4997514-999807-3000394-4002515-4003879-6001472-3000696-2998294-2001748-999532-6003378-2002478-2999827-3002944-5002039-3000617-2999275-2001896-3998860-4997501-4002297-2000898-1998668-2000554-2998005-4003049-1999849-999770-5994032-1997236-5997272-1999816-3004076-1999150-5000795-5999255-4000427-3002097-2995896-6000617-5997857-3996119-1998545-1998077-5998228-999927-1999978-4003210-2002686-4001299-5003303-5999467-4003181-3998175-1999972-8991950-4002060-5005205-3997606-4998295-997712-3000200-3001886-7000844-1998460-2002283-4999917-2001695-2999921-5999630-999935-7000745-2001127-2000543-1000360-2998152-3996065-1999849-1999219-1998847-1997482-3003696-3000341,625000025,1001555-2998499-2999299-3000469-3001416-3999124-2002715-1998233-3001476-1998291-5999077-3000349-6998555-6002440-3000304-6003509-1999722-999935-1999840-4000065-3999865-1998483-3001031-2997768-5001018-2999017-2999345-3001039-8001784-1999901-6000654-999128-2001439-3998247-4998592-3000367-2000738-4002545-2001002-4998683-4000593-4000036-1998775-1998209-4999277-3998142-1001005-6999749-3999431-3997768-3999977-3000080-3001401-3000188-1998564-2000677-1999933-1998828-3001184-3997224-4000520-4000753-3998077-4999059-3996587-5998599-999271-1999063-2002273-4000065-3998432-3002201-1000718-2998462-999645-3000507-3000017-998940-3998345-4999027-1999537-2001403-2002058-3001035-4001101-6000904-5002020-1999810-2000738-2000844-3998037-5000802-1999875-3998796-3003403-6002609-4002126-2999941-3999228-4998509-2999217-2001449-4997883-1001160-3000376-3997645-4002000-6000131-3000170-3000509-2001930-998564-6001065-1998123-2999139-3000367-5001526-3000104-3000038-2002320-4000999-4999395-3999609-1999715-1999846-1999206-3000998-4002080-1997880-999293-5997096-2001905-5998006-2000167-3001270-1998840-4998996-5997352-3996250-2998851-2998404-5998541-6001880-4001240-2001930-2001326-5998207-999777-1999898-3999105-2000151-4001702-4998543-6000803-3999401-4002926-2000308-9002356-4000989-5001571-4001565-5000591-999436-3001101-3000219-6997757-1999464-1997994-4999680-1999278-3000013-5998709-999293-7001756-2001905-2000738-1000663-2999022-4000780-1998613-2000596-1998840-1999569-3002239-2999779
odd-to-even-50000000,salt-per-10000000-,50000000,12500684-12499316-12499316-12500684,50000002,12497969-12497969-12502032-12502032
odd-to-even-50000000,salt-per-100000000-,25000000,25000000,25000001,25000001
odd-to-even-50000000,salt-per-1000000000-,25000000,25000000,25000001,25000001
one-to-even-100000,salt-per-1000000-,100001,100001,50001,50001
one-to-even-100000,salt-per-10000000-,100001,100001,50001,50001
one-to-even-100000,salt-per-100000000-,100001,100001,50001,50001
one-to-even-100000,salt-per-1000000000-,100001,100001,50001,50001
one-to-even-500000,salt-per-1000000-,500001,500001,250001,250001
one-to-even-500000,salt-per-10000000-,500001,500001,250001,250001
one-to-even-500000,salt-per-100000000-,500001,500001,250001,250001
one-to-even-500000,salt-per-1000000000-,500001,500001,250001,250001
one-to-even-1000000,salt-per-1000000-,1000001,1000001,500001,500001
one-to-even-1000000,salt-per-10000000-,1000001,1000001,500001,500001
one-to-even-1000000,salt-per-100000000-,1000001,1000001,500001,500001
one-to-even-1000000,salt-per-1000000000-,1000001,1000001,500001,500001
one-to-even-5000000,salt-per-1000000-,25000005,999730-999756-1001573-999198-999730-999198-999744-999756-1001573-999744-999730-999198-999756-999198-999198-999744-999744-1001573-999730-999744-999756-1001573-999730-1001573-999756,12500005,499911-499834-499911-499911-500399-499834-499911-500399-499834-499834-499834-500140-500140-500399-499717-499717-500399-500399-499717-500140-499717-499717-500140-500140-499911
one-to-even-5000000,salt-per-10000000-,5000001,5000001,2500001,2500001
one-to-even-5000000,salt-per-100000000-,5000001,5000001,2500001,2500001
one-to-even-5000000,salt-per-1000000000-,5000001,5000001,2500001,2500001
one-to-even-10000000,salt-per-1000000-,100000010,999351-1999048-2000948-997571-999937-1000606-997571-997571-3003455-1000953-999351-1000953-2001906-999351-999351-2998973-1001352-1000606-999697-999233-997571-999937-1001251-1000050-2000703-999233-999233-999233-1001251-1001352-2001301-997571-999937-1000050-999697-1001352-999697-999697-999937-1001352-1000606-1000606-1001251-1999288-1000050-999697-999351-1000953-1001352-999233-1000606-1000050-999351-999937-999937-1000953-1000050-1000050-1001251-1001352-999233-1001352-1000606-999937-2000303-1001352-1997268-2002204-999351-997571-999937-999233-1000953-1000606-1996804-999937-2998980-1998177-1000606-1001251-999233-1000050-1000953,50000010,499960-1001071-999927-499108-500489-501643-501111-501643-1500664-499216-499399-498816-999774-499108-501643-1500772-498816-499960-500489-500445-499814-499108-499216-499814-1000327-501643-499399-499108-501643-499216-1001600-499960-501111-499960-501643-499960-500445-498816-500445-499108-500445-501111-500489-997632-499399-499399-500445-499399-501643-499960-498816-499216-499814-501643-499960-500489-499108-500445-499814-499814-499814-500489-500489-499814-998432-499399-998507-1001603-500489-498816-499399-499216-500445-499108-1000934-499216-1497446-1000303-499399-499399-501111-501643-499108
one-to-even-10000000,salt-per-10000000-,10000001,10000001,5000001,5000001
one-to-even-10000000,salt-per-100000000-,10000001,10000001,5000001,5000001
one-to-even-10000000,salt-per-1000000000-,10000001,10000001,5000001,5000001
one-to-even-50000000,salt-per-1000000-,2500000050,12000526-6999080-11003147-15001559-9002213-13003041-11993166-11005201-11001602-11001891-13995478-12001877-12998804-13001892-17000524-16005004-10997365-16000485-8001614-13997901-14997062-8996974-8002268-13005555-15002788-18995003-10998706-14000250-12998122-20993582-7997722-12998903-4999424-9998725-9001015-6997946-10998174-16000071-10004300-15996230-18002529-8999719-15996667-12000720-8999498-12998984-12001417-8999505-10999986-19002519-13003890-19998576-10003840-13995614-14002474-7998920-10999887-13000022-16000552-9001939-12999866-10996347-13999090-16997135-17000684-12001900-14005183-9999151-16996702-12999745-19002881-8000613-6997351-12001452-15996632-14999445-12998676-8994728-10002504-8001909-15994150-13004235-12998139-12998841-14000507-9000942-5998357-10000628-13002093-8997848-12000456-11998665-14003727-9000574-7002807-10001167-9995038-14001883-6999007-14002269-11000195-12997790-12995265-13002820-9998804-11997186-18002429-16997893-13000209-12003919-11001428-10995533-7993942-15999848-18001130-26008983-14998960-16002093-11000337-8000168-16999308-12001658-15998559-11005577-10996826-11997509-7001710-11999383-10998866-13005496-11998368-14001302-18005094-13002031-12999260-10998005-9996256-10002548-9998628-6001803-17999170-6999021-12000384-5996964-17004362-12996563-10997210-16996413-16002500-8001694-13002316-15994007-14002210-14000090-12999792-7000880-11999894-10995245-20995306-6000627-11997039-11998817-12997633-13001739-14998000-20000794-13998224-13000444-14997499-12000668-13995332-11005849-14002058-11001919-5997564-14001134-13002697-14998833-7000386-20005969-12002709-7002923-9995657-11000496-10998778-9001075-19995817-6001742-21010703-14001251-11005050-18007440-18993028-14002263-13998281-8999702-9996980-9998371-7998854-13998790,1250000050,6000401-3499193-5500159-7501909-4499750-6503393-5994831-5504382-5502446-5498578-6999264-6003948-6497768-6494580-8500834-7997195-5497570-8000991-3996985-6999126-7500608-4502745-3997971-6499817-7503375-9497750-5498710-7000030-6498662-10501237-3999174-6501512-2501027-5002282-4498115-3500514-5500074-7999500-4996696-7998738-8999736-4503168-7994659-6000269-4499250-6503365-6001979-4496498-5499097-9500454-6498460-9996072-4997265-7000835-6997192-3997464-5497806-6501313-7996807-4502246-6502428-5501011-6994855-8500942-8494298-6002823-7001047-4998385-8499747-6500056-9505474-4000832-3499670-6002101-7998733-7499422-6500555-4502139-5001030-3997827-8000666-6500922-6499696-6500402-7000799-4504635-3001058-5002079-6499869-4501031-6004611-5996703-6996996-4500441-3500308-4995839-5003000-7000657-3501062-7004094-5497395-6500542-6500458-6499826-4999717-5998539-9000321-8500834-6498225-6000225-5497866-5503057-3999743-7999262-8999909-12999899-7493668-7999071-5500838-4002731-8498871-6000659-8007091-5497960-5500752-5997673-3502252-6001096-5496512-6500867-5995407-6998744-8998825-6499902-6498925-5501848-5004189-4998687-4999795-3000102-9002179-3498233-5996739-3000706-8503211-6500411-5500410-8500438-7999072-3997949-6492785-7997356-7003745-7003236-6502598-3501715-5999298-5498746-10498330-3000561-5994888-5998655-6498760-6497848-7505088-10004637-6999260-6499599-7503115-5998292-7000740-5502880-7002199-5500365-2999414-7001453-6502456-7500681-3501603-9999629-6004101-3500604-5002532-5501445-5500272-4500841-9996615-2996732-10495817-6998557-5500675-9009703-9499282-7001686-7002484-4496589-4999452-4996759-4000953-6999370
one-to-even-50000000,salt-per-10000000-,250000005,10000895-9999145-9999501-9999389-10000895-9999389-10001071-9999145-9999501-10001071-10000895-9999389-9999145-9999389-9999389-10001071-10001071-9999501-10000895-10001071-9999145-9999501-10000895-9999501-9999145,125000005,5000677-5001500-5000677-5000677-4998312-5001500-5000677-4998312-5001500-5001500-5001500-4998732-4998732-4998312-5000780-5000780-4998312-4998312-5000780-4998732-5000780-5000780-4998732-4998732-5000677
one-to-even-50000000,salt-per-100000000-,50000001,50000001,25000001,25000001
one-to-even-50000000,salt-per-1000000000-,50000001,50000001,25000001,25000001
one-to-long-continuous-100000,salt-per-1000000-,100001,100001,10,10
one-to-long-continuous-100000,salt-per-10000000-,100001,100001,10,10
one-to-long-continuous-100000,salt-per-100000000-,100001,100001,10,10
one-to-long-continuous-100000,salt-per-1000000000-,100001,100001,10,10
one-to-long-continuous-500000,salt-per-1000000-,500001,500001,50,50
one-to-long-continuous-500000,salt-per-10000000-,500001,500001,50,50
one-to-long-continuous-500000,salt-per-100000000-,500001,500001,50,50
one-to-long-continuous-500000,salt-per-1000000000-,500001,500001,50,50
one-to-long-continuous-1000000,salt-per-1000000-,1000001,1000001,100,100
one-to-long-continuous-1000000,salt-per-10000000-,1000001,1000001,100,100
one-to-long-continuous-1000000,salt-per-100000000-,1000001,1000001,100,100
