data_suite,join_name,elapsed_time,result,result_rows_count
odd-to-even-100000,bucket-per-1000-rdd-ailist-10-20-10-64,6078,success,0
odd-to-even-100000,bucket-per-1000000-rdd-ailist-10-20-10-64,5457,success,0
odd-to-even-100000,salt-per-1000000-rdd-ailist-10-20-10-64,5208,success,0
odd-to-even-100000,salt-per-10000000-rdd-ailist-10-20-10-64,4787,success,0
odd-to-even-500000,bucket-per-1000-rdd-ailist-10-20-10-64,7194,success,0
odd-to-even-500000,bucket-per-1000000-rdd-ailist-10-20-10-64,6472,success,0
odd-to-even-500000,salt-per-1000000-rdd-ailist-10-20-10-64,5303,success,0
odd-to-even-500000,salt-per-10000000-rdd-ailist-10-20-10-64,5726,success,0
odd-to-even-1000000,bucket-per-1000-rdd-ailist-10-20-10-64,8000,success,0
odd-to-even-1000000,bucket-per-1000000-rdd-ailist-10-20-10-64,7620,success,0
odd-to-even-1000000,salt-per-1000000-rdd-ailist-10-20-10-64,7191,success,0
odd-to-even-1000000,salt-per-10000000-rdd-ailist-10-20-10-64,6586,success,0
odd-to-even-5000000,bucket-per-1000-rdd-ailist-10-20-10-64,13657,success,0
odd-to-even-5000000,bucket-per-1000000-rdd-ailist-10-20-10-64,17183,success,0
odd-to-even-5000000,salt-per-1000000-rdd-ailist-10-20-10-64,19473,success,0
odd-to-even-5000000,salt-per-10000000-rdd-ailist-10-20-10-64,21026,success,0
odd-to-even-10000000,bucket-per-1000-rdd-ailist-10-20-10-64,15935,success,0
odd-to-even-10000000,bucket-per-1000000-rdd-ailist-10-20-10-64,19366,success,0
odd-to-even-10000000,salt-per-1000000-rdd-ailist-10-20-10-64,37767,success,0
odd-to-even-10000000,salt-per-10000000-rdd-ailist-10-20-10-64,39292,success,0
odd-to-even-50000000,bucket-per-1000-rdd-ailist-10-20-10-64,30156,success,0
odd-to-even-50000000,bucket-per-1000000-rdd-ailist-10-20-10-64,39039,success,0
odd-to-even-50000000,salt-per-1000000-rdd-ailist-10-20-10-64,,Job aborted due to stage failure: Task 16 in stage 13.0 failed 1 times; most recent failure: Lost task 16.0 in stage 13.0 (TID 285) (192.168.107.3 executor 0): java.lang.OutOfMemoryError: Java heap space
odd-to-even-50000000,salt-per-10000000-rdd-ailist-10-20-10-64,,Job aborted due to stage failure: Task 3 in stage 11.0 failed 1 times; most recent failure: Lost task 3.0 in stage 11.0 (TID 87) (192.168.107.4 executor 1): java.lang.OutOfMemoryError: Java heap space
one-to-even-100000,bucket-per-1000-rdd-ailist-10-20-10-64,7100,success,50001
one-to-even-100000,bucket-per-1000000-rdd-ailist-10-20-10-64,6312,success,50001
one-to-even-100000,salt-per-1000000-rdd-ailist-10-20-10-64,4814,success,50001
one-to-even-100000,salt-per-10000000-rdd-ailist-10-20-10-64,4777,success,50001
one-to-even-500000,bucket-per-1000-rdd-ailist-10-20-10-64,7765,success,250001
one-to-even-500000,bucket-per-1000000-rdd-ailist-10-20-10-64,7862,success,250001
one-to-even-500000,salt-per-1000000-rdd-ailist-10-20-10-64,6710,success,250001
one-to-even-500000,salt-per-10000000-rdd-ailist-10-20-10-64,6673,success,250001
one-to-even-1000000,bucket-per-1000-rdd-ailist-10-20-10-64,9855,success,500001
one-to-even-1000000,bucket-per-1000000-rdd-ailist-10-20-10-64,11099,success,500001
one-to-even-1000000,salt-per-1000000-rdd-ailist-10-20-10-64,8316,success,500001
one-to-even-1000000,salt-per-10000000-rdd-ailist-10-20-10-64,8703,success,500001
one-to-even-5000000,bucket-per-1000-rdd-ailist-10-20-10-64,14548,success,2500001
one-to-even-5000000,bucket-per-1000000-rdd-ailist-10-20-10-64,17792,success,2500001
one-to-even-5000000,salt-per-1000000-rdd-ailist-10-20-10-64,31992,success,2500001
one-to-even-5000000,salt-per-10000000-rdd-ailist-10-20-10-64,38368,success,2500001
one-to-even-10000000,bucket-per-1000-rdd-ailist-10-20-10-64,22786,success,5000001
one-to-even-10000000,bucket-per-1000000-rdd-ailist-10-20-10-64,20989,success,5000001
one-to-even-10000000,salt-per-1000000-rdd-ailist-10-20-10-64,111946,success,5000001
one-to-even-10000000,salt-per-10000000-rdd-ailist-10-20-10-64,72787,success,5000001
one-to-even-50000000,bucket-per-1000-rdd-ailist-10-20-10-64,50292,success,25000001
one-to-even-50000000,bucket-per-1000000-rdd-ailist-10-20-10-64,80170,success,25000001
one-to-even-50000000,salt-per-1000000-rdd-ailist-10-20-10-64,,Job aborted due to stage failure: Task 12 in stage 11.0 failed 1 times; most recent failure: Lost task 12.0 in stage 11.0 (TID 96) (192.168.107.3 executor 1): java.lang.OutOfMemoryError: Java heap space
