data_suite,join_name,elapsed_time,result,result_rows_count
odd-to-even-100000,driver-ailist,4619,success,0
odd-to-even-500000,driver-ailist,4817,success,0
odd-to-even-1000000,driver-ailist,6021,success,0
odd-to-even-5000000,driver-ailist,17118,success,0
odd-to-even-10000000,driver-ailist,37085,success,0
one-to-even-100000,driver-ailist,4106,success,50001
one-to-even-500000,driver-ailist,5556,success,250001
one-to-even-1000000,driver-ailist,7709,success,500001
one-to-even-5000000,driver-ailist,34050,success,2500001
one-to-even-10000000,driver-ailist,156438,success
one-to-even-50000000,driver-ailist,,Job aborted due to stage failure: Total size of serialized results of 16 tasks (1063.2 MiB) is bigger than spark.driver.maxResultSize (1024.0 MiB)
one-to-long-continuous-100000,driver-ailist,3743,success,100000
one-to-long-continuous-500000,driver-ailist,4946,success,500000
one-to-long-continuous-1000000,driver-ailist,6606,success,1000000
one-to-long-continuous-5000000,driver-ailist,26490,success,5000000
one-to-long-continuous-10000000,driver-ailist,131393,success,10000000
one-to-long-continuous-50000000,driver-ailist,,Job aborted due to stage failure: Total size of serialized results of 16 tasks (1063.3 MiB) is bigger than spark.driver.maxResultSize (1024.0 MiB)
one-to-long-overlap-100000,driver-ailist,3808,success,190019
one-to-long-overlap-500000,driver-ailist,5083,success,990099
one-to-long-overlap-1000000,driver-ailist,6821,success,1990199
one-to-long-overlap-5000000,driver-ailist,29360,success,9990999
one-to-long-overlap-10000000,driver-ailist,125570,success,19991999
one-to-long-overlap-50000000,driver-ailist,,Job aborted due to stage failure: Total size of serialized results of 16 tasks (1063.3 MiB) is bigger than spark.driver.maxResultSize (1024.0 MiB)
one-to-one-100000,driver-ailist,4107,success,100001
one-to-one-500000,driver-ailist,5228,success,500001
one-to-one-1000000,driver-ailist,7168,success,1000001
one-to-one-5000000,driver-ailist,26645,success,5000001
one-to-one-10000000,driver-ailist,140553,success,10000001
one-to-one-50000000,driver-ailist,,Job aborted due to stage failure: Total size of serialized results of 16 tasks (1063.3 MiB) is bigger than spark.driver.maxResultSize (1024.0 MiB)
short-continuous-to-long-overlap-100000,driver-ailist,3492,success,19018
short-continuous-to-long-overlap-500000,driver-ailist,3510,success,99098
short-continuous-to-long-overlap-1000000,driver-ailist,3715,success,199198
short-continuous-to-long-overlap-5000000,driver-ailist,4945,success,999998
short-continuous-to-long-overlap-10000000,driver-ailist,6685,success,2000998
short-continuous-to-long-overlap-50000000,driver-ailist,24400,success,10008998
short-continuous-to-random-normal-short-100000,driver-ailist,4358,success,95400
short-continuous-to-random-normal-short-500000,driver-ailist,4541,success,477600
short-continuous-to-random-normal-short-1000000,driver-ailist,4540,success,964400
short-continuous-to-random-normal-short-5000000,driver-ailist,6297,success,5076600
short-continuous-to-random-normal-short-10000000,driver-ailist,8697,success,10602960
short-continuous-to-random-normal-short-50000000,driver-ailist,34254,success,68308400
short-continuous-to-random-poisson-short-100000,driver-ailist,3858,success,20000000
short-continuous-to-random-poisson-short-500000,driver-ailist,4259,success,20000000
short-continuous-to-random-poisson-short-1000000,driver-ailist,4255,success,20000000
short-continuous-to-random-poisson-short-5000000,driver-ailist,5394,success,20000000
short-continuous-to-random-poisson-short-10000000,driver-ailist,7212,success,20000000
short-continuous-to-random-poisson-short-50000000,driver-ailist,25159,success,20000000
short-continuous-to-random-uniform-short-100000,driver-ailist,4366,success,197160
short-continuous-to-random-uniform-short-500000,driver-ailist,4542,success,1001560
short-continuous-to-random-uniform-short-1000000,driver-ailist,4889,success,2001360
short-continuous-to-random-uniform-short-5000000,driver-ailist,6783,success,10019800
short-continuous-to-random-uniform-short-10000000,driver-ailist,9601,success,20031480
short-continuous-to-random-uniform-short-50000000,driver-ailist,39198,success,99958440
short-continuous-to-short-overlap-100000,driver-ailist,3527,success,39997
short-continuous-to-short-overlap-500000,driver-ailist,3838,success,199997
short-continuous-to-short-overlap-1000000,driver-ailist,3921,success,399997
short-continuous-to-short-overlap-5000000,driver-ailist,5005,success,1999997
short-continuous-to-short-overlap-10000000,driver-ailist,7348,success,3999997
short-continuous-to-short-overlap-50000000,driver-ailist,27718,success,19999997
databio-s-1-2,driver-ailist,4164,success,54343
databio-s-2-7,driver-ailist,5570,success,274249
databio-s-1-0,driver-ailist,4231,success,321138
databio-m-7-0,driver-ailist,9330,success,2764069
databio-m-7-3,driver-ailist,8348,success,4410796
databio-l-0-8,driver-ailist,37710,success,164213743
databio-l-4-8,driver-ailist,1147345,success,227866180
databio-l-7-8,driver-ailist,14866,success,307298107
databio-xl-3-0,driver-ailist,36614,success,1087646273
