data_suite,join_name,elapsed_time,result,result_rows_count
one-to-even-10000000,bucket-per-1000-rdd-ailist-10-20-10-64,24358,success,5000001
one-to-even-10000000,bucket-per-1000000-rdd-ailist-10-20-10-64,21371,success,5000001
one-to-even-10000000,salt-per-1000000-rdd-ailist-10-20-10-64,115612,success
one-to-even-10000000,salt-per-10000000-rdd-ailist-10-20-10-64,,Job aborted due to stage failure: Task 0 in stage 14.0 failed 1 times; most recent failure: Lost task 0.0 in stage 14.0 (TID 86) (192.168.97.5 executor 1): java.lang.OutOfMemoryError: Java heap space
one-to-even-50000000,bucket-per-1000-rdd-ailist-10-20-10-64,56416,success,25000001
one-to-even-50000000,bucket-per-1000000-rdd-ailist-10-20-10-64,86189,success,25000001
one-to-even-50000000,salt-per-1000000-rdd-ailist-10-20-10-64,,Job aborted due to stage failure: Task 15 in stage 11.0 failed 1 times; most recent failure: Lost task 15.0 in stage 11.0 (TID 99) (192.168.97.7 executor 3): java.lang.OutOfMemoryError: Java heap space
one-to-even-50000000,salt-per-10000000-rdd-ailist-10-20-10-64,,Job aborted due to stage failure: Task 5 in stage 13.0 failed 1 times; most recent failure: Lost task 5.0 in stage 13.0 (TID 114) (192.168.97.5 executor 1): java.lang.OutOfMemoryError: Java heap space
one-to-long-continuous-100000,bucket-per-1000-rdd-ailist-10-20-10-64,7050,success,100000
one-to-long-continuous-100000,bucket-per-1000000-rdd-ailist-10-20-10-64,6876,success,100000
one-to-long-continuous-100000,salt-per-1000000-rdd-ailist-10-20-10-64,5271,success,100000
one-to-long-continuous-100000,salt-per-10000000-rdd-ailist-10-20-10-64,5054,success,100000
one-to-long-continuous-500000,bucket-per-1000-rdd-ailist-10-20-10-64,7471,success,500000
one-to-long-continuous-500000,bucket-per-1000000-rdd-ailist-10-20-10-64,8088,success,500000
one-to-long-continuous-500000,salt-per-1000000-rdd-ailist-10-20-10-64,6540,success,500000
one-to-long-continuous-500000,salt-per-10000000-rdd-ailist-10-20-10-64,6435,success,500000
one-to-long-continuous-1000000,bucket-per-1000-rdd-ailist-10-20-10-64,8757,success,1000000
one-to-long-continuous-1000000,bucket-per-1000000-rdd-ailist-10-20-10-64,11183,success,1000000
one-to-long-continuous-1000000,salt-per-1000000-rdd-ailist-10-20-10-64,7790,success,1000000
